round,date,min_since_start,ss,direction,speed
1,9/16/2015,65,0,209,0
1,9/16/2015,65,5,209,0
1,9/16/2015,65,10,209,0
1,9/16/2015,65,15,209,0
1,9/16/2015,65,20,209,0
1,9/16/2015,65,25,209,0
1,9/16/2015,65,30,209,1
1,9/16/2015,65,35,209,1.1
1,9/16/2015,70,40,209,0.7
1,9/16/2015,70,45,209,0.3
1,9/16/2015,70,0,217,0
1,9/16/2015,70,5,217,0
1,9/16/2015,70,10,217,0.2
1,9/16/2015,70,15,217,0.3
1,9/16/2015,70,20,217,0.5
1,9/16/2015,70,25,217,0
1,9/16/2015,70,30,217,0
1,9/16/2015,75,35,217,0
1,9/16/2015,75,40,217,0
1,9/16/2015,75,45,217,0
1,9/16/2015,75,0,217,0
1,9/16/2015,75,5,217,0
1,9/16/2015,75,10,217,0
1,9/16/2015,75,15,217,0
1,9/16/2015,75,20,217,0
1,9/16/2015,75,25,217,0
1,9/16/2015,80,30,217,0
1,9/16/2015,80,35,217,0
1,9/16/2015,80,40,217,0
1,9/16/2015,80,45,217,0
1,9/16/2015,80,0,198,0
1,9/16/2015,80,5,198,0
1,9/16/2015,80,10,198,0
1,9/16/2015,80,15,198,0
1,9/16/2015,80,20,198,0
1,9/16/2015,85,25,198,0
1,9/16/2015,85,30,198,0
1,9/16/2015,85,35,198,1.2
1,9/16/2015,85,40,198,1.6
1,9/16/2015,85,45,198,1.3
1,9/16/2015,85,0,194,1.2
1,9/16/2015,85,5,194,1.4
1,9/16/2015,85,10,194,1.1
1,9/16/2015,85,15,194,0.7
1,9/16/2015,90,20,194,0.5
1,9/16/2015,90,25,194,1
1,9/16/2015,90,30,194,0.7
1,9/16/2015,90,35,194,0.3
1,9/16/2015,90,40,194,0
1,9/16/2015,90,45,194,0
1,9/16/2015,90,0,200,0
1,9/16/2015,90,5,200,0
1,9/16/2015,90,10,200,0.3
1,9/16/2015,95,15,200,0.2
1,9/16/2015,95,20,200,0
1,9/16/2015,95,25,200,0
1,9/16/2015,95,30,200,0
1,9/16/2015,95,35,200,0
1,9/16/2015,95,40,200,0
1,9/16/2015,95,45,200,0
1,9/16/2015,95,0,189,0.2
1,9/16/2015,95,5,189,0
1,9/16/2015,100,10,189,0
1,9/16/2015,100,15,189,0
1,9/16/2015,100,20,189,0
1,9/16/2015,100,25,189,0
1,9/16/2015,100,30,189,0
1,9/16/2015,100,35,189,0
1,9/16/2015,100,40,189,0
1,9/16/2015,100,45,189,0
1,9/16/2015,100,0,205,0.7
1,9/16/2015,105,5,205,1.2
1,9/16/2015,105,10,205,1.3
1,9/16/2015,105,15,205,1.4
1,9/16/2015,105,20,205,0.7
1,9/16/2015,105,25,205,0.2
1,9/16/2015,105,30,205,0.2
1,9/16/2015,105,35,205,1
1,9/16/2015,105,40,205,1.1
1,9/16/2015,105,45,205,
1,9/16/2015,110,0,210,0
1,9/16/2015,110,5,210,0
1,9/16/2015,110,10,210,1
1,9/16/2015,110,15,210,0.4
1,9/16/2015,110,20,210,0
1,9/16/2015,110,25,210,0
1,9/16/2015,110,30,210,0.9
1,9/16/2015,110,35,210,0.4
1,9/16/2015,110,40,210,1.1
1,9/16/2015,115,45,210,2
1,9/16/2015,115,0,182,0
1,9/16/2015,115,5,182,0
1,9/16/2015,115,10,182,0
